ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
23,Sunrise Clinic,Pediatrics,Global Health Group,Hyderabad,Hyderabad District,Telangana,3.3,Good experience overall but long waiting times.,,,,,,,,
24,Crystal Hospital,General Surgery,Swasthya Foundation,Nashik,Nashik District,Maharashtra,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
25,Prime Clinic,Neurology,Prime Medical Group,Gurugram,Gurugram District,Haryana,3.4,Exceptional care and professional staff.,,,,,,,,
26,LifeCare Hospital,Rheumatology,Aster DM Healthcare,Gurugram,Gurugram District,Haryana,3.3,Good value for money and efficient treatment.,,,,,,,,
27,Metro Hospital,Obstetrics & Gynecology,Aster DM Healthcare,Hyderabad,Hyderabad District,Telangana,4.1,Exceptional care and professional staff.,,,,,,,,
28,Fortis Medical Center,Rheumatology,Aster DM Healthcare,Bhopal,Bhopal District,Madhya Pradesh,4.1,Average service; room service needs improvement.,,,,,,,,
29,Sanjeevani Clinic,Nephrology,Narayana Health,Mysore,Mysore District,Karnataka,4.6,Highly recommended for specialized surgery.,,,,,,,,
30,Prime Clinic,Cardiology,Max Healthcare,Vellore,Vellore District,Tamil Nadu,4.3,Caring doctors and quick emergency response.,,,,,,,,
31,Sunrise Hospital & Research,Gastroenterology,Independent,Salem,Salem District,Tamil Nadu,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
32,Global Super Speciality Hospital,Urology,City Health Org,Vellore,Vellore District,Tamil Nadu,3.2,Exceptional care and professional staff.,,,,,,,,
33,Sanjeevani Medical Center,Neurology,Swasthya Foundation,Erode,Erode District,Tamil Nadu,4.2,Average service; room service needs improvement.,,,,,,,,
34,Sunrise Health Institute,Gastroenterology,Max Healthcare,Noida,Noida District,Uttar Pradesh,4.3,Good value for money and efficient treatment.,,,,,,,,
35,Prime Clinic,Emergency Medicine,Manipal Hospitals,Chandigarh,Chandigarh District,Chandigarh,4.2,Highly recommended for specialized surgery.,,,,,,,,
36,City Health Centre,Ophthalmology,Global Health Group,Kanpur,Kanpur District,Uttar Pradesh,4.3,Highly recommended for specialized surgery.,,,,,,,,
37,Fortis Care Hospital,Plastic Surgery,City Health Org,Bengaluru,Bengaluru District,Karnataka,4.5,Excellent diagnostics and attentive staff.,,,,,,,,
38,Apollo Medical Center,General,Manipal Hospitals,Lucknow,Lucknow District,Uttar Pradesh,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
39,Crystal Hospital & Research,Dermatology,CarePlus Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
40,CarePlus Care Hospital,General,Swasthya Foundation,Surat,Surat District,Gujarat,3.5,Caring doctors and quick emergency response.,,,,,,,,
41,Metro Clinic,Psychiatry,Manipal Hospitals,Jaipur,Jaipur District,Rajasthan,3.3,Good value for money and efficient treatment.,,,,,,,,
42,Swasth Super Speciality Hospital,Radiology,Manipal Hospitals,Chennai,Chennai District,Tamil Nadu,4.5,Modern equipment but billing could be better.,,,,,,,,
43,Sunrise Clinic,General,CarePlus Hospitals,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.5,Good experience overall but long waiting times.,,,,,,,,
44,Trinity Hospital,Obstetrics & Gynecology,Manipal Hospitals,Jaipur,Jaipur District,Rajasthan,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
45,Yashodha Hospital & Research,Pulmonology,Max Healthcare,Thane,Thane District,Maharashtra,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
46,Fortis Medical Center,Neurology,Swasthya Foundation,Vellore,Vellore District,Tamil Nadu,4.5,Good experience overall but long waiting times.,,,,,,,,
47,Swasth Care Hospital,Pediatrics,Prime Medical Group,Agra,Agra District,Uttar Pradesh,4.5,"Very skilled specialists, especially in their department.",,,,,,,,
48,Yashodha Super Speciality Hospital,Endocrinology,Prime Medical Group,Agra,Agra District,Uttar Pradesh,3.2,"Very skilled specialists, especially in their department.",,,,,,,,
49,Sunrise Super Speciality Hospital,Orthopedics,Swasthya Foundation,Vellore,Vellore District,Tamil Nadu,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
50,Sujatha Health Institute,Nephrology,Manipal Hospitals,Kolhapur,Kolhapur District,Maharashtra,4.5,Average service; room service needs improvement.,,,,,,,,
51,Fortis Medical Center,Radiology,Narayana Health,Coimbatore,Coimbatore District,Tamil Nadu,3.9,Caring doctors and quick emergency response.,,,,,,,,
52,Aster Health Centre,Pediatrics,Aster DM Healthcare,Bhopal,Bhopal District,Madhya Pradesh,4.8,Highly recommended for specialized surgery.,,,,,,,,
53,Sunrise Clinic,Nephrology,Prime Medical Group,Dehradun,Dehradun District,Uttarakhand,4.3,Highly recommended for specialized surgery.,,,,,,,,
54,Harmony Hospital & Research,Pediatrics,CarePlus Hospitals,Chandigarh,Chandigarh District,Chandigarh,4.1,Modern equipment but billing could be better.,,,,,,,,
55,Swasth Hospital & Research,Endocrinology,Apollo Group,Pune,Pune District,Maharashtra,4.1,"Very skilled specialists, especially in their department.",,,,,,,,
56,Swasth Health Centre,Orthopedics,Max Healthcare,Kolkata,Kolkata District,West Bengal,3.4,Good value for money and efficient treatment.,,,,,,,,
57,Raj Medical Center,Obstetrics & Gynecology,Independent,Kolhapur,Kolhapur District,Maharashtra,3.6,Modern equipment but billing could be better.,,,,,,,,
58,City Super Speciality Hospital,Oncology,CarePlus Hospitals,Pune,Pune District,Maharashtra,4.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
59,Sanjeevani Clinic,Oncology,Global Health Group,Amritsar,Amritsar District,Punjab,3.9,"Very skilled specialists, especially in their department.",,,,,,,,
60,National Clinic,Endocrinology,Swasthya Foundation,Nashik,Nashik District,Maharashtra,3.5,Good experience overall but long waiting times.,,,,,,,,
61,Trinity Care Hospital,Neurology,Narayana Health,Patna,Patna District,Bihar,3.5,"Very skilled specialists, especially in their department.",,,,,,,,
62,National Clinic,Orthopedics,Swasthya Foundation,Vijayawada,Vijayawada District,Andhra Pradesh,4.8,"Very skilled specialists, especially in their department.",,,,,,,,
63,National Care Hospital,Cardiology,Prime Medical Group,Patna,Patna District,Bihar,4.4,Average service; room service needs improvement.,,,,,,,,
64,CarePlus Hospital,General,Apollo Group,Jamshedpur,Jamshedpur District,Jharkhand,4.9,Good experience overall but long waiting times.,,,,,,,,
65,Vijaya Super Speciality Hospital,General Surgery,Swasthya Foundation,Gurugram,Gurugram District,Haryana,4,Caring doctors and quick emergency response.,,,,,,,,
66,Global Super Speciality Hospital,Nephrology,Prime Medical Group,Kanpur,Kanpur District,Uttar Pradesh,3.6,Modern equipment but billing could be better.,,,,,,,,
67,Crystal Hospital,Plastic Surgery,Swasthya Foundation,Kochi,Kochi District,Kerala,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
68,CarePlus Health Institute,Pulmonology,Narayana Health,Bhopal,Bhopal District,Madhya Pradesh,4.8,Modern equipment but billing could be better.,,,,,,,,
69,Sanjeevani Medical Center,General Surgery,Max Healthcare,Amritsar,Amritsar District,Punjab,4.8,Modern equipment but billing could be better.,,,,,,,,
70,Raj Care Hospital,Pulmonology,Max Healthcare,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.1,Modern equipment but billing could be better.,,,,,,,,
71,Crystal Health Centre,Cardiology,Independent,Mysore,Mysore District,Karnataka,4.5,Caring doctors and quick emergency response.,,,,,,,,
72,Global Clinic,General,Prime Medical Group,Ranchi,Ranchi District,Jharkhand,4.1,Average service; room service needs improvement.,,,,,,,,
73,LifeCare Health Institute,Obstetrics & Gynecology,Global Health Group,Dehradun,Dehradun District,Uttarakhand,3.7,Good experience overall but long waiting times.,,,,,,,,
74,Raj Health Centre,Dermatology,Aster DM Healthcare,Hyderabad,Hyderabad District,Telangana,4.4,Excellent diagnostics and attentive staff.,,,,,,,,
75,City Clinic,Ophthalmology,Swasthya Foundation,Nashik,Nashik District,Maharashtra,4.8,Excellent diagnostics and attentive staff.,,,,,,,,
76,LifeCare Hospital & Research,Cardiology,Independent,Delhi,Delhi District,Delhi,3.7,Good experience overall but long waiting times.,,,,,,,,
77,Yashodha Clinic,Obstetrics & Gynecology,CarePlus Hospitals,Nashik,Nashik District,Maharashtra,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
78,Sunrise Health Institute,Pulmonology,Apollo Group,Salem,Salem District,Tamil Nadu,4.9,Excellent diagnostics and attentive staff.,,,,,,,,
79,Yashodha Care Hospital,General,Apollo Group,Indore,Indore District,Madhya Pradesh,3.8,Average service; room service needs improvement.,,,,,,,,
80,LifeCare Care Hospital,Rheumatology,Narayana Health,Agra,Agra District,Uttar Pradesh,4.6,Good experience overall but long waiting times.,,,,,,,,
81,LifeCare Health Centre,Neurology,CarePlus Hospitals,Kolhapur,Kolhapur District,Maharashtra,4.2,Good experience overall but long waiting times.,,,,,,,,
82,Aster Health Centre,Pediatrics,Fortis Healthcare,Jodhpur,Jodhpur District,Rajasthan,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
83,Yashodha Hospital & Research,Emergency Medicine,Apollo Group,Salem,Salem District,Tamil Nadu,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
84,Fortis Care Hospital,Dermatology,Independent,Kolkata,Kolkata District,West Bengal,4.8,Excellent diagnostics and attentive staff.,,,,,,,,
85,Sanjeevani Medical Center,Neurology,Fortis Healthcare,Bhavnagar,Bhavnagar District,Gujarat,4.9,Good value for money and efficient treatment.,,,,,,,,
86,Aster Super Speciality Hospital,Endocrinology,City Health Org,Ranchi,Ranchi District,Jharkhand,4.5,Exceptional care and professional staff.,,,,,,,,
87,Sujatha Care Hospital,Plastic Surgery,Max Healthcare,Bhopal,Bhopal District,Madhya Pradesh,3.7,Average service; room service needs improvement.,,,,,,,,
88,Sujatha Medical Center,Endocrinology,Swasthya Foundation,Pune,Pune District,Maharashtra,4.3,Good experience overall but long waiting times.,,,,,,,,
89,Sunrise Clinic,Endocrinology,City Health Org,Hyderabad,Hyderabad District,Telangana,4.6,Good experience overall but long waiting times.,,,,,,,,
90,National Hospital,Cardiology,Fortis Healthcare,Nagpur,Nagpur District,Maharashtra,3.7,Exceptional care and professional staff.,,,,,,,,
91,National Medical Center,Pulmonology,CarePlus Hospitals,Raipur,Raipur District,Chhattisgarh,4.6,Good value for money and efficient treatment.,,,,,,,,
92,Apollo Hospital,Plastic Surgery,CarePlus Hospitals,Bhavnagar,Bhavnagar District,Gujarat,3.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
93,Metro Health Centre,ENT,City Health Org,Hyderabad,Hyderabad District,Telangana,4.2,Good value for money and efficient treatment.,,,,,,,,
94,National Clinic,Pulmonology,Manipal Hospitals,Kolkata,Kolkata District,West Bengal,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
95,CarePlus Hospital & Research,Ophthalmology,Fortis Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
96,Sunrise Hospital,Pediatrics,City Health Org,Jaipur,Jaipur District,Rajasthan,4.1,Exceptional care and professional staff.,,,,,,,,
97,Prime Hospital & Research,Obstetrics & Gynecology,Apollo Group,Jamshedpur,Jamshedpur District,Jharkhand,4,Good value for money and efficient treatment.,,,,,,,,
98,Harmony Clinic,Plastic Surgery,Manipal Hospitals,Gurugram,Gurugram District,Haryana,4.1,Good experience overall but long waiting times.,,,,,,,,
99,Aster Hospital,Plastic Surgery,Fortis Healthcare,Mysore,Mysore District,Karnataka,3.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
100,Sanjeevani Care Hospital,Nephrology,Aster DM Healthcare,Trivandrum,Trivandrum District,Kerala,3.7,"Very skilled specialists, especially in their department.",,,,,,,,
101,Sujatha Super Speciality Hospital,Dermatology,CarePlus Hospitals,Gurugram,Gurugram District,Haryana,3.9,Average service; room service needs improvement.,,,,,,,,
102,Harmony Care Hospital,Ophthalmology,Global Health Group,Salem,Salem District,Tamil Nadu,3.6,Highly recommended for specialized surgery.,,,,,,,,
103,CarePlus Health Centre,Gastroenterology,Aster DM Healthcare,Jaipur,Jaipur District,Rajasthan,3,Good value for money and efficient treatment.,,,,,,,,
104,Yashodha Hospital,Cardiology,Manipal Hospitals,Hyderabad,Hyderabad District,Telangana,3.9,Average service; room service needs improvement.,,,,,,,,
105,Apollo Hospital & Research,Emergency Medicine,Fortis Healthcare,Kochi,Kochi District,Kerala,4.9,Highly recommended for specialized surgery.,,,,,,,,
106,City Super Speciality Hospital,Endocrinology,Narayana Health,Raipur,Raipur District,Chhattisgarh,3.7,Caring doctors and quick emergency response.,,,,,,,,
107,National Health Institute,Endocrinology,Narayana Health,Surat,Surat District,Gujarat,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
108,Harmony Hospital & Research,Neurology,Swasthya Foundation,Salem,Salem District,Tamil Nadu,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
109,City Health Centre,Pulmonology,CarePlus Hospitals,Varanasi,Varanasi District,Uttar Pradesh,3.1,Excellent diagnostics and attentive staff.,,,,,,,,
110,Harmony Clinic,Dermatology,Aster DM Healthcare,Patna,Patna District,Bihar,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
111,Fortis Care Hospital,Urology,CarePlus Hospitals,Bengaluru,Bengaluru District,Karnataka,4,Average service; room service needs improvement.,,,,,,,,
112,Trinity Hospital,ENT,Swasthya Foundation,Salem,Salem District,Tamil Nadu,3.7,Modern equipment but billing could be better.,,,,,,,,
113,City Health Institute,Cardiology,Aster DM Healthcare,Mysore,Mysore District,Karnataka,4.9,Good value for money and efficient treatment.,,,,,,,,
114,Crystal Medical Center,Ophthalmology,Swasthya Foundation,Jaipur,Jaipur District,Rajasthan,3.8,Highly recommended for specialized surgery.,,,,,,,,
115,Fortis Health Institute,Oncology,Fortis Healthcare,Indore,Indore District,Madhya Pradesh,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
116,Vijaya Health Institute,Pulmonology,Prime Medical Group,Kanpur,Kanpur District,Uttar Pradesh,3.1,Highly recommended for specialized surgery.,,,,,,,,
117,Raj Clinic,Ophthalmology,Aster DM Healthcare,Chandigarh,Chandigarh District,Chandigarh,4.9,Good experience overall but long waiting times.,,,,,,,,
118,Metro Health Centre,ENT,Independent,Jamshedpur,Jamshedpur District,Jharkhand,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
119,Sujatha Health Institute,Oncology,Manipal Hospitals,Gurugram,Gurugram District,Haryana,4.9,Exceptional care and professional staff.,,,,,,,,
120,Yashodha Medical Center,General,Aster DM Healthcare,Surat,Surat District,Gujarat,3.1,Modern equipment but billing could be better.,,,,,,,,
121,Raj Care Hospital,Cardiology,City Health Org,Jaipur,Jaipur District,Rajasthan,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
122,Prime Medical Center,General,Independent,Surat,Surat District,Gujarat,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
123,Crystal Clinic,Orthopedics,Prime Medical Group,Kolhapur,Kolhapur District,Maharashtra,3.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
124,Crystal Hospital,Plastic Surgery,Manipal Hospitals,Hyderabad,Hyderabad District,Telangana,3.9,Caring doctors and quick emergency response.,,,,,,,,
125,Fortis Medical Center,Endocrinology,City Health Org,Vellore,Vellore District,Tamil Nadu,4.5,Excellent diagnostics and attentive staff.,,,,,,,,
126,Vijaya Health Institute,Psychiatry,Apollo Group,Kolhapur,Kolhapur District,Maharashtra,4.6,Highly recommended for specialized surgery.,,,,,,,,
127,Prime Super Speciality Hospital,Nephrology,Global Health Group,Coimbatore,Coimbatore District,Tamil Nadu,3.5,Caring doctors and quick emergency response.,,,,,,,,
128,Sanjeevani Super Speciality Hospital,Pulmonology,Prime Medical Group,Erode,Erode District,Tamil Nadu,4.8,Caring doctors and quick emergency response.,,,,,,,,
129,Sanjeevani Medical Center,Dermatology,Manipal Hospitals,Ahmedabad,Ahmedabad District,Gujarat,5,Caring doctors and quick emergency response.,,,,,,,,
130,Sujatha Super Speciality Hospital,Psychiatry,Fortis Healthcare,Chandigarh,Chandigarh District,Chandigarh,3.9,Modern equipment but billing could be better.,,,,,,,,
131,Yashodha Hospital & Research,Emergency Medicine,Global Health Group,Hyderabad,Hyderabad District,Telangana,4.5,Good experience overall but long waiting times.,,,,,,,,
132,Aster Hospital & Research,Obstetrics & Gynecology,Manipal Hospitals,Bhavnagar,Bhavnagar District,Gujarat,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
133,Aster Super Speciality Hospital,ENT,Aster DM Healthcare,Raipur,Raipur District,Chhattisgarh,3.6,Good value for money and efficient treatment.,,,,,,,,
134,CarePlus Care Hospital,Dermatology,Max Healthcare,Thane,Thane District,Maharashtra,3.6,Excellent diagnostics and attentive staff.,,,,,,,,
135,Global Hospital & Research,Oncology,Prime Medical Group,Ahmedabad,Ahmedabad District,Gujarat,4.1,Good value for money and efficient treatment.,,,,,,,,
136,Metro Clinic,Cardiology,CarePlus Hospitals,Indore,Indore District,Madhya Pradesh,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
137,Crystal Super Speciality Hospital,General Surgery,Manipal Hospitals,Srinagar,Srinagar District,Jammu & Kashmir,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
138,Sunrise Health Institute,Gastroenterology,Fortis Healthcare,Jaipur,Jaipur District,Rajasthan,4,Good experience overall but long waiting times.,,,,,,,,
139,Aster Health Centre,Pediatrics,Apollo Group,Vadodara,Vadodara District,Gujarat,3.4,Good value for money and efficient treatment.,,,,,,,,
140,Harmony Health Institute,Ophthalmology,Fortis Healthcare,Durgapur,Durgapur District,West Bengal,4.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
141,Swasth Super Speciality Hospital,ENT,City Health Org,Bhavnagar,Bhavnagar District,Gujarat,3.1,Highly recommended for specialized surgery.,,,,,,,,
142,Sujatha Medical Center,Neurology,Prime Medical Group,Chandigarh,Chandigarh District,Chandigarh,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
143,Aster Super Speciality Hospital,Rheumatology,Fortis Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
144,Metro Medical Center,Cardiology,Independent,Surat,Surat District,Gujarat,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
145,Vijaya Care Hospital,Pulmonology,Global Health Group,Indore,Indore District,Madhya Pradesh,4,Good value for money and efficient treatment.,,,,,,,,
146,Harmony Hospital & Research,Neurology,Independent,Bhopal,Bhopal District,Madhya Pradesh,3.6,Average service; room service needs improvement.,,,,,,,,
147,Yashodha Hospital & Research,Oncology,Independent,Erode,Erode District,Tamil Nadu,3.1,Average service; room service needs improvement.,,,,,,,,
148,CarePlus Medical Center,Gastroenterology,Fortis Healthcare,Amritsar,Amritsar District,Punjab,3.8,Good value for money and efficient treatment.,,,,,,,,
149,Metro Hospital & Research,Urology,CarePlus Hospitals,Bengaluru,Bengaluru District,Karnataka,3.9,Average service; room service needs improvement.,,,,,,,,
150,Global Care Hospital,Obstetrics & Gynecology,Prime Medical Group,Durgapur,Durgapur District,West Bengal,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
151,Raj Health Centre,Emergency Medicine,Swasthya Foundation,Jamshedpur,Jamshedpur District,Jharkhand,4.9,Good experience overall but long waiting times.,,,,,,,,
152,Fortis Hospital,Psychiatry,City Health Org,Lucknow,Lucknow District,Uttar Pradesh,3.2,Average service; room service needs improvement.,,,,,,,,
153,Crystal Care Hospital,Endocrinology,Prime Medical Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.1,Good value for money and efficient treatment.,,,,,,,,
154,Sujatha Hospital & Research,Orthopedics,Global Health Group,Nagpur,Nagpur District,Maharashtra,4.4,Highly recommended for specialized surgery.,,,,,,,,
155,Prime Health Centre,Endocrinology,Prime Medical Group,Vadodara,Vadodara District,Gujarat,4.4,Modern equipment but billing could be better.,,,,,,,,
156,Aster Health Institute,Neurology,Narayana Health,Kochi,Kochi District,Kerala,3.6,Highly recommended for specialized surgery.,,,,,,,,
157,CarePlus Health Institute,Dermatology,Apollo Group,Amritsar,Amritsar District,Punjab,4.5,Exceptional care and professional staff.,,,,,,,,
158,Raj Medical Center,Rheumatology,Swasthya Foundation,Mysore,Mysore District,Karnataka,3.3,Highly recommended for specialized surgery.,,,,,,,,
159,Prime Hospital,ENT,Apollo Group,Coimbatore,Coimbatore District,Tamil Nadu,4.1,Exceptional care and professional staff.,,,,,,,,
160,Vijaya Health Centre,Cardiology,Independent,Dehradun,Dehradun District,Uttarakhand,3.6,Good value for money and efficient treatment.,,,,,,,,
161,Crystal Care Hospital,Endocrinology,Narayana Health,Jaipur,Jaipur District,Rajasthan,4.6,Good experience overall but long waiting times.,,,,,,,,
162,Harmony Clinic,Dermatology,Fortis Healthcare,Noida,Noida District,Uttar Pradesh,4.7,Average service; room service needs improvement.,,,,,,,,
163,Metro Care Hospital,General,Aster DM Healthcare,Nagpur,Nagpur District,Maharashtra,3,Modern equipment but billing could be better.,,,,,,,,
164,Aster Clinic,Ophthalmology,Independent,Thane,Thane District,Maharashtra,3.2,Modern equipment but billing could be better.,,,,,,,,
165,Metro Care Hospital,Pulmonology,Fortis Healthcare,Vadodara,Vadodara District,Gujarat,4.5,Highly recommended for specialized surgery.,,,,,,,,
166,Sujatha Hospital & Research,Obstetrics & Gynecology,Apollo Group,Raipur,Raipur District,Chhattisgarh,3.2,Caring doctors and quick emergency response.,,,,,,,,
167,Swasth Care Hospital,Radiology,Apollo Group,Pune,Pune District,Maharashtra,4,"Very skilled specialists, especially in their department.",,,,,,,,
168,Prime Hospital,Pediatrics,Manipal Hospitals,Salem,Salem District,Tamil Nadu,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
169,Raj Hospital,Gastroenterology,Narayana Health,Hyderabad,Hyderabad District,Telangana,3.4,Average service; room service needs improvement.,,,,,,,,
170,Sunrise Health Institute,Plastic Surgery,Swasthya Foundation,Salem,Salem District,Tamil Nadu,3.7,Exceptional care and professional staff.,,,,,,,,
171,Sujatha Super Speciality Hospital,Oncology,Global Health Group,Chandigarh,Chandigarh District,Chandigarh,4.6,Highly recommended for specialized surgery.,,,,,,,,
172,Sanjeevani Hospital,Endocrinology,Max Healthcare,Bengaluru,Bengaluru District,Karnataka,3.1,Exceptional care and professional staff.,,,,,,,,
173,Sunrise Clinic,Orthopedics,Independent,Vadodara,Vadodara District,Gujarat,4,Highly recommended for specialized surgery.,,,,,,,,
174,Crystal Clinic,Cardiology,Manipal Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,3.6,Exceptional care and professional staff.,,,,,,,,
175,Yashodha Hospital & Research,Gastroenterology,Prime Medical Group,Bhavnagar,Bhavnagar District,Gujarat,3.8,Highly recommended for specialized surgery.,,,,,,,,
176,LifeCare Super Speciality Hospital,Pediatrics,Manipal Hospitals,Ranchi,Ranchi District,Jharkhand,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
177,City Clinic,Pediatrics,Independent,Erode,Erode District,Tamil Nadu,3.8,Excellent diagnostics and attentive staff.,,,,,,,,
178,Apollo Clinic,Endocrinology,Max Healthcare,Chandigarh,Chandigarh District,Chandigarh,3.2,Highly recommended for specialized surgery.,,,,,,,,
179,Yashodha Care Hospital,ENT,Global Health Group,Noida,Noida District,Uttar Pradesh,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
180,Swasth Hospital & Research,Gastroenterology,Aster DM Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,3.1,Modern equipment but billing could be better.,,,,,,,,
181,Fortis Super Speciality Hospital,General Surgery,City Health Org,Mysore,Mysore District,Karnataka,3.5,Excellent diagnostics and attentive staff.,,,,,,,,
182,Metro Care Hospital,Radiology,Fortis Healthcare,Kanpur,Kanpur District,Uttar Pradesh,4.1,Exceptional care and professional staff.,,,,,,,,
183,Metro Clinic,Psychiatry,Apollo Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
184,Sunrise Super Speciality Hospital,Cardiology,Independent,Jodhpur,Jodhpur District,Rajasthan,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
