Flight_Number,Airline,Airline_Code,Origin_Code,Origin_City,Origin_Country,Destination_Code,Destination_City,Destination_Country,Departure_Time,Arrival_Time,Duration_Minutes,Stops,Economy_Price_INR,Business_Price_INR,Currency,Direction
6E3074,IndiGo,6E,GOI,Goa,India,JFK,New York,USA,2025-04-29 03:00,2025-04-29 10:31,451,1 Stop,55641,101915,INR,From India
QR1042,Qatar Airways,QR,FRA,Frankfurt,Germany,COK,Kochi,India,2025-07-28 04:45,2025-07-28 19:42,897,2+ Stops,62866,117658,INR,To India
QR3743,Qatar Airways,QR,JFK,New York,USA,COK,Kochi,India,2025-01-10 20:00,2025-01-11 03:26,446,Direct,30976,70827,INR,To India
AI8732,Air India,AI,BOM,Mumbai,India,NRT,Tokyo,Japan,2025-06-24 17:45,2025-06-25 01:19,454,2+ Stops,101487,193168,INR,From India
QR3472,Qatar Airways,QR,SFO,San Francisco,USA,BOM,Mumbai,India,2025-01-27 05:15,2025-01-27 13:34,499,1 Stop,102401,209308,INR,To India
UK8384,Vistara,UK,GOI,Goa,India,FRA,Frankfurt,Germany,2025-05-20 11:00,2025-05-20 18:16,436,2+ Stops,24843,45022,INR,From India
EK6540,Emirates,EK,NRT,Tokyo,Japan,GOI,Goa,India,2025-08-18 03:45,2025-08-18 17:57,852,2+ Stops,84880,189853,INR,To India
BA2226,British Airways,BA,MAA,Chennai,India,DXB,Dubai,UAE,2025-04-13 22:15,2025-04-14 08:09,594,Direct,65554,169490,INR,From India
UK9910,Vistara,UK,BKK,Bangkok,Thailand,HYD,Hyderabad,India,2025-01-30 02:45,2025-01-30 14:23,698,Direct,107889,278002,INR,To India
UK5489,Vistara,UK,DEL,New Delhi,India,NRT,Tokyo,Japan,2025-03-23 08:45,2025-03-23 11:48,183,2+ Stops,54503,113982,INR,From India
QR7876,Qatar Airways,QR,MAA,Chennai,India,LHR,London,UK,2025-04-23 11:15,2025-04-23 14:16,181,1 Stop,63952,134638,INR,From India
AI6554,Air India,AI,ICN,Seoul,South Korea,MAA,Chennai,India,2025-02-17 08:00,2025-02-17 13:27,327,Direct,72364,164225,INR,To India
EK9874,Emirates,EK,HYD,Hyderabad,India,FRA,Frankfurt,Germany,2025-02-14 18:15,2025-02-15 08:28,853,1 Stop,113846,276330,INR,From India
QR8681,Qatar Airways,QR,AMD,Ahmedabad,India,SFO,San Francisco,USA,2025-03-17 01:45,2025-03-17 16:42,897,2+ Stops,86262,164885,INR,From India
EK1818,Emirates,EK,YYZ,Toronto,Canada,TRV,Thiruvananthapuram,India,2025-02-14 00:00,2025-02-14 05:16,316,1 Stop,103508,216183,INR,To India
AI1248,Air India,AI,GOI,Goa,India,LHR,London,UK,2025-10-01 21:15,2025-10-02 08:36,681,2+ Stops,54575,98379,INR,From India
SQ3880,Singapore Airlines,SQ,JFK,New York,USA,GOI,Goa,India,2025-05-11 02:30,2025-05-11 09:30,420,2+ Stops,115595,278023,INR,To India
6E3348,IndiGo,6E,AMD,Ahmedabad,India,BKK,Bangkok,Thailand,2025-09-04 21:30,2025-09-05 01:17,227,Direct,100868,232625,INR,From India
QR1730,Qatar Airways,QR,DOH,Doha,Qatar,CCU,Kolkata,India,2025-10-19 04:00,2025-10-19 15:13,673,2+ Stops,27950,61172,INR,To India
QR1506,Qatar Airways,QR,DOH,Doha,Qatar,AMD,Ahmedabad,India,2025-08-27 14:45,2025-08-27 19:46,301,1 Stop,91968,180202,INR,To India
6E3552,IndiGo,6E,NRT,Tokyo,Japan,HYD,Hyderabad,India,2025-09-18 14:30,2025-09-19 00:06,576,Direct,47503,120336,INR,To India
QR8257,Qatar Airways,QR,SYD,Sydney,Australia,BLR,Bengaluru,India,2025-07-05 04:30,2025-07-05 09:25,295,1 Stop,112187,234712,INR,To India
AI6918,Air India,AI,DEL,New Delhi,India,SFO,San Francisco,USA,2025-09-10 21:45,2025-09-11 07:40,595,1 Stop,59577,141897,INR,From India
BA3307,British Airways,BA,CCU,Kolkata,India,JFK,New York,USA,2025-01-02 10:30,2025-01-02 20:17,587,2+ Stops,35734,91189,INR,From India
BA7113,British Airways,BA,DOH,Doha,Qatar,HYD,Hyderabad,India,2025-02-04 12:45,2025-02-05 01:48,783,1 Stop,30013,62684,INR,To India
AI5270,Air India,AI,JFK,New York,USA,HYD,Hyderabad,India,2025-05-28 20:15,2025-05-29 03:30,435,Direct,54829,117827,INR,To India
LH6831,Lufthansa,LH,COK,Kochi,India,LHR,London,UK,2025-10-12 17:15,2025-10-12 21:37,262,1 Stop,26484,67448,INR,From India
AI4978,Air India,AI,NRT,Tokyo,Japan,HYD,Hyderabad,India,2025-10-10 04:15,2025-10-10 15:18,663,1 Stop,74377,154327,INR,To India
EK1331,Emirates,EK,COK,Kochi,India,FRA,Frankfurt,Germany,2025-06-05 15:45,2025-06-05 20:47,302,Direct,41932,97054,INR,From India
SQ1586,Singapore Airlines,SQ,GOI,Goa,India,DXB,Dubai,UAE,2025-06-21 14:45,2025-06-21 20:07,322,Direct,91799,179368,INR,From India
BA6863,British Airways,BA,GOI,Goa,India,JFK,New York,USA,2025-05-04 11:30,2025-05-05 00:13,763,1 Stop,46495,116693,INR,From India
LH6000,Lufthansa,LH,GOI,Goa,India,DXB,Dubai,UAE,2025-05-20 10:00,2025-05-20 21:30,690,Direct,56374,127372,INR,From India
EK457,Emirates,EK,DOH,Doha,Qatar,BOM,Mumbai,India,2025-07-17 12:45,2025-07-17 23:07,622,Direct,60896,150957,INR,To India
SQ7455,Singapore Airlines,SQ,SYD,Sydney,Australia,COK,Kochi,India,2025-09-09 00:00,2025-09-09 09:40,580,Direct,89187,221573,INR,To India
UK7592,Vistara,UK,SFO,San Francisco,USA,MAA,Chennai,India,2025-09-26 21:00,2025-09-27 11:57,897,Direct,104849,259732,INR,To India
UK2196,Vistara,UK,YYZ,Toronto,Canada,DEL,New Delhi,India,2025-05-01 18:00,2025-05-02 08:00,840,2+ Stops,113719,232330,INR,To India
LH3240,Lufthansa,LH,GOI,Goa,India,FRA,Frankfurt,Germany,2025-02-28 03:00,2025-02-28 11:07,487,1 Stop,88738,226710,INR,From India
AI4070,Air India,AI,MAA,Chennai,India,YYZ,Toronto,Canada,2025-01-07 17:30,2025-01-08 04:21,651,1 Stop,56517,145087,INR,From India
AI6981,Air India,AI,DXB,Dubai,UAE,GOI,Goa,India,2025-07-31 22:30,2025-08-01 02:26,236,Direct,22855,44688,INR,To India
LH6990,Lufthansa,LH,MAA,Chennai,India,FRA,Frankfurt,Germany,2025-07-10 07:45,2025-07-10 11:19,214,1 Stop,111202,230237,INR,From India
QR3277,Qatar Airways,QR,MAA,Chennai,India,LHR,London,UK,2025-09-17 02:15,2025-09-17 13:42,687,Direct,46268,94820,INR,From India
QR8047,Qatar Airways,QR,MAA,Chennai,India,DOH,Doha,Qatar,2025-02-26 19:45,2025-02-27 09:09,804,1 Stop,44551,112142,INR,From India
LH1085,Lufthansa,LH,SFO,San Francisco,USA,TRV,Thiruvananthapuram,India,2025-01-29 06:00,2025-01-29 19:10,790,Direct,38600,82307,INR,To India
BA8698,British Airways,BA,AMD,Ahmedabad,India,SYD,Sydney,Australia,2025-02-28 02:15,2025-02-28 10:52,517,2+ Stops,44993,87664,INR,From India
LH4684,Lufthansa,LH,DEL,New Delhi,India,DOH,Doha,Qatar,2025-07-12 10:45,2025-07-12 16:38,353,Direct,34281,61784,INR,From India
EK7857,Emirates,EK,COK,Kochi,India,JFK,New York,USA,2025-07-15 11:30,2025-07-15 21:52,622,Direct,31502,57944,INR,From India
EK6731,Emirates,EK,GOI,Goa,India,NRT,Tokyo,Japan,2025-06-16 11:45,2025-06-16 15:16,211,Direct,102793,218809,INR,From India
6E4561,IndiGo,6E,DEL,New Delhi,India,NRT,Tokyo,Japan,2025-02-02 08:15,2025-02-02 12:19,244,1 Stop,99379,205839,INR,From India
BA1170,British Airways,BA,SYD,Sydney,Australia,HYD,Hyderabad,India,2025-05-23 09:00,2025-05-23 22:09,789,Direct,103097,263638,INR,To India
SQ3097,Singapore Airlines,SQ,NRT,Tokyo,Japan,BOM,Mumbai,India,2025-07-18 08:45,2025-07-18 20:10,685,Direct,37394,95073,INR,To India
EK3332,Emirates,EK,BLR,Bengaluru,India,CDG,Paris,France,2025-06-18 10:45,2025-06-18 19:55,550,1 Stop,98081,182745,INR,From India
6E1282,IndiGo,6E,BKK,Bangkok,Thailand,MAA,Chennai,India,2025-01-19 15:30,2025-01-19 21:14,344,1 Stop,75909,190287,INR,To India
LH7651,Lufthansa,LH,JFK,New York,USA,MAA,Chennai,India,2025-09-14 22:45,2025-09-15 04:42,357,2+ Stops,50696,96644,INR,To India
6E4365,IndiGo,6E,YYZ,Toronto,Canada,GOI,Goa,India,2025-06-01 09:30,2025-06-01 22:10,760,Direct,55083,115584,INR,To India
EK6589,Emirates,EK,MAA,Chennai,India,SFO,San Francisco,USA,2025-05-02 04:30,2025-05-02 17:22,772,1 Stop,44674,92076,INR,From India
EK3886,Emirates,EK,ICN,Seoul,South Korea,GOI,Goa,India,2025-02-22 20:45,2025-02-23 00:22,217,1 Stop,33412,60261,INR,To India
EK1330,Emirates,EK,DEL,New Delhi,India,DOH,Doha,Qatar,2025-03-04 01:15,2025-03-04 14:29,794,1 Stop,96440,188571,INR,From India
QR2416,Qatar Airways,QR,CDG,Paris,France,AMD,Ahmedabad,India,2025-01-05 03:30,2025-01-05 10:12,402,Direct,24909,52183,INR,To India
EK5215,Emirates,EK,LHR,London,UK,HYD,Hyderabad,India,2025-01-07 10:45,2025-01-08 01:19,874,Direct,68733,133899,INR,To India
SQ9113,Singapore Airlines,SQ,YYZ,Toronto,Canada,DEL,New Delhi,India,2025-10-09 15:00,2025-10-10 00:57,597,Direct,33289,81114,INR,To India
QR9381,Qatar Airways,QR,BKK,Bangkok,Thailand,BLR,Bengaluru,India,2025-07-30 09:30,2025-07-30 19:37,607,1 Stop,26731,54795,INR,To India
BA2665,British Airways,BA,COK,Kochi,India,LHR,London,UK,2025-04-12 12:45,2025-04-12 19:13,388,1 Stop,20770,44600,INR,From India
BA6599,British Airways,BA,BKK,Bangkok,Thailand,BOM,Mumbai,India,2025-08-25 05:15,2025-08-25 08:30,195,Direct,26775,60009,INR,To India
UK1882,Vistara,UK,GOI,Goa,India,SFO,San Francisco,USA,2025-06-29 09:15,2025-06-29 21:08,713,1 Stop,42516,108007,INR,From India
UK6455,Vistara,UK,MAA,Chennai,India,DOH,Doha,Qatar,2025-01-24 15:30,2025-01-24 19:24,234,Direct,99645,253191,INR,From India
LH8585,Lufthansa,LH,CDG,Paris,France,MAA,Chennai,India,2025-04-12 15:15,2025-04-13 03:53,758,Direct,48591,89085,INR,To India
UK724,Vistara,UK,CCU,Kolkata,India,JFK,New York,USA,2025-05-08 23:15,2025-05-09 02:57,222,2+ Stops,93707,231829,INR,From India
SQ4183,Singapore Airlines,SQ,BOM,Mumbai,India,BKK,Bangkok,Thailand,2025-10-10 20:30,2025-10-11 10:34,844,1 Stop,75059,153613,INR,From India
SQ7420,Singapore Airlines,SQ,CCU,Kolkata,India,NRT,Tokyo,Japan,2025-04-03 00:00,2025-04-03 13:33,813,2+ Stops,84159,182811,INR,From India
SQ1602,Singapore Airlines,SQ,BLR,Bengaluru,India,YYZ,Toronto,Canada,2025-07-25 03:00,2025-07-25 08:11,311,1 Stop,66999,143677,INR,From India
UK8356,Vistara,UK,FRA,Frankfurt,Germany,DEL,New Delhi,India,2025-02-13 23:30,2025-02-14 11:13,703,1 Stop,30481,56189,INR,To India
6E3722,IndiGo,6E,JFK,New York,USA,DEL,New Delhi,India,2025-04-11 04:45,2025-04-11 12:39,474,Direct,41641,97810,INR,To India
QR7966,Qatar Airways,QR,TRV,Thiruvananthapuram,India,YYZ,Toronto,Canada,2025-03-24 10:30,2025-03-24 21:17,647,Direct,38818,77765,INR,From India
EK4657,Emirates,EK,TRV,Thiruvananthapuram,India,ICN,Seoul,South Korea,2025-06-14 11:00,2025-06-14 17:23,383,2+ Stops,43867,93119,INR,From India
QR7522,Qatar Airways,QR,COK,Kochi,India,SFO,San Francisco,USA,2025-03-01 16:00,2025-03-02 05:51,831,2+ Stops,67156,172787,INR,From India
LH5520,Lufthansa,LH,ICN,Seoul,South Korea,HYD,Hyderabad,India,2025-07-11 08:45,2025-07-11 18:02,557,Direct,95675,183404,INR,To India
AI9698,Air India,AI,MAA,Chennai,India,SFO,San Francisco,USA,2025-06-02 16:30,2025-06-03 00:47,497,2+ Stops,103786,267017,INR,From India
AI8499,Air India,AI,DEL,New Delhi,India,SYD,Sydney,Australia,2025-04-25 04:30,2025-04-25 18:00,810,1 Stop,102001,218872,INR,From India
EK1842,Emirates,EK,NRT,Tokyo,Japan,BLR,Bengaluru,India,2025-01-25 00:00,2025-01-25 03:02,182,2+ Stops,94333,196587,INR,To India
LH7880,Lufthansa,LH,GOI,Goa,India,DXB,Dubai,UAE,2025-10-27 09:15,2025-10-27 15:44,389,Direct,68003,156348,INR,From India
EK4519,Emirates,EK,YYZ,Toronto,Canada,DEL,New Delhi,India,2025-03-19 14:00,2025-03-19 18:05,245,1 Stop,103651,198569,INR,To India
BA820,British Airways,BA,DEL,New Delhi,India,LHR,London,UK,2025-10-25 14:45,2025-10-25 21:59,434,Direct,41639,105046,INR,From India
EK3331,Emirates,EK,SFO,San Francisco,USA,COK,Kochi,India,2025-03-24 01:00,2025-03-24 04:12,192,Direct,100299,224743,INR,To India
LH7930,Lufthansa,LH,MAA,Chennai,India,ICN,Seoul,South Korea,2025-04-01 16:30,2025-04-01 20:35,245,2+ Stops,59356,136564,INR,From India
SQ4383,Singapore Airlines,SQ,BKK,Bangkok,Thailand,COK,Kochi,India,2025-02-12 23:45,2025-02-13 05:44,359,Direct,49615,128864,INR,To India
QR4943,Qatar Airways,QR,SIN,Singapore,Singapore,BOM,Mumbai,India,2025-01-28 08:45,2025-01-28 23:27,882,2+ Stops,88582,228321,INR,To India
AI5455,Air India,AI,ICN,Seoul,South Korea,BOM,Mumbai,India,2025-03-29 08:15,2025-03-29 14:42,387,Direct,40864,97947,INR,To India
EK534,Emirates,EK,CCU,Kolkata,India,CDG,Paris,France,2025-07-15 20:45,2025-07-16 07:48,663,1 Stop,89549,211165,INR,From India
EK540,Emirates,EK,DOH,Doha,Qatar,TRV,Thiruvananthapuram,India,2025-07-21 19:00,2025-07-22 07:38,758,Direct,42484,81385,INR,To India
BA798,British Airways,BA,SFO,San Francisco,USA,TRV,Thiruvananthapuram,India,2025-03-15 22:00,2025-03-16 01:31,211,2+ Stops,25459,48645,INR,To India
BA3428,British Airways,BA,JFK,New York,USA,DEL,New Delhi,India,2025-04-14 17:00,2025-04-15 02:33,573,Direct,34039,67984,INR,To India
6E3458,IndiGo,6E,YYZ,Toronto,Canada,DEL,New Delhi,India,2025-05-29 15:00,2025-05-29 20:15,315,1 Stop,32826,79884,INR,To India
QR6129,Qatar Airways,QR,CCU,Kolkata,India,BKK,Bangkok,Thailand,2025-01-12 11:30,2025-01-12 19:19,469,1 Stop,26344,62504,INR,From India
AI888,Air India,AI,HYD,Hyderabad,India,CDG,Paris,France,2025-08-01 00:45,2025-08-01 12:36,711,2+ Stops,32884,68314,INR,From India
QR984,Qatar Airways,QR,CDG,Paris,France,BOM,Mumbai,India,2025-03-30 13:00,2025-03-31 00:56,716,Direct,46481,94387,INR,To India
SQ2703,Singapore Airlines,SQ,AMD,Ahmedabad,India,JFK,New York,USA,2025-04-06 15:30,2025-04-07 03:17,707,1 Stop,54154,122518,INR,From India
UK1813,Vistara,UK,NRT,Tokyo,Japan,MAA,Chennai,India,2025-02-27 20:00,2025-02-28 07:22,682,2+ Stops,111377,250487,INR,To India
LH3477,Lufthansa,LH,CCU,Kolkata,India,JFK,New York,USA,2025-07-23 23:00,2025-07-24 09:12,612,1 Stop,104654,190484,INR,From India
UK655,Vistara,UK,COK,Kochi,India,ICN,Seoul,South Korea,2025-07-15 20:15,2025-07-16 07:06,651,1 Stop,36630,81510,INR,From India
SQ4314,Singapore Airlines,SQ,GOI,Goa,India,SFO,San Francisco,USA,2025-10-12 23:30,2025-10-13 05:23,353,2+ Stops,80706,173601,INR,From India
SQ2632,Singapore Airlines,SQ,SIN,Singapore,Singapore,BLR,Bengaluru,India,2025-05-03 16:15,2025-05-03 23:48,453,2+ Stops,59519,143071,INR,To India
BA4338,British Airways,BA,SYD,Sydney,Australia,MAA,Chennai,India,2025-09-26 11:15,2025-09-26 18:16,421,2+ Stops,63001,161574,INR,To India
6E7225,IndiGo,6E,FRA,Frankfurt,Germany,BLR,Bengaluru,India,2025-04-12 12:15,2025-04-12 17:46,331,1 Stop,59597,142236,INR,To India
6E7252,IndiGo,6E,FRA,Frankfurt,Germany,BOM,Mumbai,India,2025-05-25 06:45,2025-05-25 17:40,655,2+ Stops,24447,44251,INR,To India
QR190,Qatar Airways,QR,FRA,Frankfurt,Germany,GOI,Goa,India,2025-08-27 00:15,2025-08-27 07:38,443,2+ Stops,99129,236977,INR,To India
LH7536,Lufthansa,LH,SYD,Sydney,Australia,COK,Kochi,India,2025-04-29 21:15,2025-04-30 11:50,875,1 Stop,43790,101296,INR,To India
6E7039,IndiGo,6E,HYD,Hyderabad,India,FRA,Frankfurt,Germany,2025-08-04 07:45,2025-08-04 21:29,824,1 Stop,40507,81015,INR,From India
LH6468,Lufthansa,LH,DEL,New Delhi,India,CDG,Paris,France,2025-09-24 21:15,2025-09-25 11:25,850,1 Stop,62998,152615,INR,From India
EK9513,Emirates,EK,DOH,Doha,Qatar,DEL,New Delhi,India,2025-03-25 22:15,2025-03-26 10:06,711,1 Stop,65640,123460,INR,To India
AI3542,Air India,AI,ICN,Seoul,South Korea,AMD,Ahmedabad,India,2025-07-10 16:30,2025-07-11 02:30,600,2+ Stops,117269,300018,INR,To India
6E1107,IndiGo,6E,ICN,Seoul,South Korea,COK,Kochi,India,2025-07-03 20:00,2025-07-04 03:18,438,Direct,55960,117822,INR,To India
BA8735,British Airways,BA,BKK,Bangkok,Thailand,COK,Kochi,India,2025-10-26 08:00,2025-10-26 14:49,409,Direct,59779,143061,INR,To India
UK3802,Vistara,UK,AMD,Ahmedabad,India,DXB,Dubai,UAE,2025-03-09 02:15,2025-03-09 13:15,660,Direct,104174,234354,INR,From India
QR3875,Qatar Airways,QR,COK,Kochi,India,NRT,Tokyo,Japan,2025-10-09 20:15,2025-10-10 07:15,660,1 Stop,66497,161379,INR,From India
UK5348,Vistara,UK,HYD,Hyderabad,India,BKK,Bangkok,Thailand,2025-09-05 00:30,2025-09-05 09:36,546,1 Stop,52108,121074,INR,From India
6E9350,IndiGo,6E,COK,Kochi,India,CDG,Paris,France,2025-07-06 04:30,2025-07-06 14:04,574,1 Stop,27479,51336,INR,From India
AI1763,Air India,AI,SIN,Singapore,Singapore,GOI,Goa,India,2025-01-07 06:00,2025-01-07 20:11,851,2+ Stops,58403,116807,INR,To India
SQ1581,Singapore Airlines,SQ,SFO,San Francisco,USA,MAA,Chennai,India,2025-06-28 04:15,2025-06-28 14:07,592,2+ Stops,90060,174205,INR,To India
EK4433,Emirates,EK,MAA,Chennai,India,NRT,Tokyo,Japan,2025-09-30 02:45,2025-09-30 17:12,867,1 Stop,35332,79286,INR,From India
SQ4139,Singapore Airlines,SQ,NRT,Tokyo,Japan,BLR,Bengaluru,India,2025-10-14 01:45,2025-10-14 12:43,658,1 Stop,38929,91885,INR,To India
AI4963,Air India,AI,CDG,Paris,France,GOI,Goa,India,2025-03-25 10:45,2025-03-26 01:37,892,1 Stop,93737,206041,INR,To India
6E851,IndiGo,6E,COK,Kochi,India,BKK,Bangkok,Thailand,2025-04-04 20:30,2025-04-05 10:21,831,2+ Stops,104740,190922,INR,From India
SQ2179,Singapore Airlines,SQ,BOM,Mumbai,India,ICN,Seoul,South Korea,2025-09-07 04:00,2025-09-07 10:38,398,1 Stop,114133,243385,INR,From India
SQ4221,Singapore Airlines,SQ,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-09-28 17:15,2025-09-29 01:05,470,2+ Stops,77041,159749,INR,To India
BA5749,British Airways,BA,DOH,Doha,Qatar,HYD,Hyderabad,India,2025-09-11 12:30,2025-09-12 00:05,695,Direct,55611,138936,INR,To India
EK1534,Emirates,EK,BOM,Mumbai,India,SIN,Singapore,Singapore,2025-06-13 22:30,2025-06-14 03:40,310,Direct,96867,249742,INR,From India
AI7883,Air India,AI,GOI,Goa,India,BKK,Bangkok,Thailand,2025-07-25 09:00,2025-07-25 12:06,186,2+ Stops,26081,50908,INR,From India
LH7601,Lufthansa,LH,ICN,Seoul,South Korea,GOI,Goa,India,2025-03-18 20:00,2025-03-19 02:37,397,2+ Stops,25173,58743,INR,To India
UK2372,Vistara,UK,FRA,Frankfurt,Germany,BOM,Mumbai,India,2025-01-20 13:00,2025-01-21 03:11,851,1 Stop,21759,45587,INR,To India
LH994,Lufthansa,LH,HYD,Hyderabad,India,SFO,San Francisco,USA,2025-01-19 10:00,2025-01-19 20:21,621,1 Stop,94230,217992,INR,From India
LH6442,Lufthansa,LH,YYZ,Toronto,Canada,BOM,Mumbai,India,2025-10-23 22:45,2025-10-24 09:22,637,2+ Stops,28810,52183,INR,To India
LH2586,Lufthansa,LH,YYZ,Toronto,Canada,AMD,Ahmedabad,India,2025-10-09 03:00,2025-10-09 16:59,839,2+ Stops,81891,161310,INR,To India
AI4612,Air India,AI,LHR,London,UK,COK,Kochi,India,2025-03-05 02:15,2025-03-05 07:19,304,2+ Stops,36904,80371,INR,To India
UK8260,Vistara,UK,SYD,Sydney,Australia,AMD,Ahmedabad,India,2025-01-27 11:15,2025-01-27 15:41,266,1 Stop,58422,134539,INR,To India
AI1405,Air India,AI,DEL,New Delhi,India,SYD,Sydney,Australia,2025-01-07 01:00,2025-01-07 15:06,846,1 Stop,109999,269923,INR,From India
UK7288,Vistara,UK,HYD,Hyderabad,India,SYD,Sydney,Australia,2025-09-08 19:00,2025-09-09 03:23,503,1 Stop,68177,174465,INR,From India
